status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,Unnamed: 21
< 0 DM,15,existing credits paid back duly till now,car (new),1403,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,28,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,bad,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,53,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,< 1 year,2,male : single,none,3,real estate,25,bank,own,3,skilled employee/ official,1,none,yes,good,
< 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 to < 1000 DM,1 to < 4 years,2,male : single,none,3,none,44,none,rent,1,skilled employee/ official,2,none,yes,good,
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,< 100 DM,< 1 year,1,male : single,none,3,none,48,none,rent,2,unskilled - resident,2,none,no,good,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 to < 500 DM,< 1 year,3,male : single,none,4,car,44,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,1,real estate,26,none,own,2,skilled employee/ official,1,none,no,good,
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,< 100 DM,>= 7 years,4,male : married/widowed,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes,good,
>= 200 DM,12,all credits at this bank paid back duly,radio/television,409,>= 1000 DM,1 to < 4 years,3,female : divorced/separated/married,none,3,none,42,none,rent,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1 to < 4 years,3,male : single,guarantor,2,none,34,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,27,stores,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,57,none,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,< 100 DM,< 1 year,4,male : single,none,2,car,25,none,own,2,unskilled - resident,1,none,yes,bad,
>= 200 DM,18,existing credits paid back duly till now,radio/television,2100,< 100 DM,1 to < 4 years,4,male : single,co-applicant,2,none,37,stores,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,458,< 100 DM,1 to < 4 years,4,male : single,none,3,none,24,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,30,existing credits paid back duly till now,radio/television,2333,500 to < 1000 DM,>= 7 years,4,male : single,none,2,real estate,30,bank,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 to < 500 DM,4 to < 7 years,1,male : married/widowed,none,4,real estate,24,none,rent,2,skilled employee/ official,1,none,yes,good,
< 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,savings agreement/life insurance,58,stores,for free,2,unskilled - resident,1,none,yes,bad,
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 to < 1000 DM,>= 7 years,4,male : single,none,4,real estate,39,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,< 100 DM,1 to < 4 years,1,male : single,none,4,car,39,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,co-applicant,2,none,28,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,< 1 year,4,male : single,none,2,car,29,bank,own,1,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,1262,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,25,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 to < 4 years,1,male : single,guarantor,2,none,26,stores,own,1,unskilled - resident,2,none,yes,good,
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,31,stores,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,18,existing credits paid back duly till now,car (new),1961,< 100 DM,>= 7 years,3,female : divorced/separated/married,none,2,real estate,23,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,< 1 year,2,female : divorced/separated/married,none,2,real estate,29,bank,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1007,>= 1000 DM,1 to < 4 years,4,male : married/widowed,none,1,none,22,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,car (used),8133,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,car,30,bank,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,none,1,none,41,bank,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,66,none,for free,2,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,< 1 year,4,male : single,none,3,real estate,34,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,11,delay in paying off in the past,radio/television,4771,< 100 DM,4 to < 7 years,2,male : single,none,4,car,51,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 to < 4 years,2,male : single,none,2,car,39,none,own,1,unskilled - resident,2,none,yes,good,
0 to < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,< 100 DM,< 1 year,2,male : married/widowed,none,1,car,22,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,business,1568,100 to < 500 DM,1 to < 4 years,3,female : divorced/separated/married,none,4,car,24,none,rent,1,unskilled - resident,1,none,yes,good,
< 0 DM,10,existing credits paid back duly till now,radio/television,2315,< 100 DM,>= 7 years,3,male : single,none,4,none,52,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,27,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,< 100 DM,4 to < 7 years,4,male : single,none,3,none,28,none,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,< 100 DM,>= 7 years,4,male : single,none,4,none,56,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,< 100 DM,>= 7 years,4,male : single,none,3,none,54,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,3,car,33,bank,own,1,unskilled - resident,2,none,yes,bad,
>= 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,4,savings agreement/life insurance,20,none,rent,2,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,2,real estate,61,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,business,2622,100 to < 500 DM,1 to < 4 years,4,male : single,none,4,real estate,34,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,< 100 DM,>= 7 years,4,male : single,none,4,none,36,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,car (new),1469,100 to < 500 DM,>= 7 years,4,male : married/widowed,none,4,none,41,none,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,2323,< 100 DM,4 to < 7 years,4,male : single,none,4,real estate,24,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,6,delay in paying off in the past,radio/television,932,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,24,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),6078,< 100 DM,4 to < 7 years,2,male : single,none,2,real estate,32,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,6,delay in paying off in the past,business,1449,100 to < 500 DM,>= 7 years,1,male : divorced/separated,none,2,real estate,31,bank,own,2,skilled employee/ official,2,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,car (new),6260,< 100 DM,4 to < 7 years,3,male : single,none,3,none,28,none,rent,1,unskilled - resident,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 to < 1000 DM,>= 7 years,3,male : married/widowed,none,1,none,35,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female : divorced/separated/married,co-applicant,3,none,27,none,rent,2,skilled employee/ official,1,none,no,good,
< 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 to < 1000 DM,1 to < 4 years,1,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,< 100 DM,1 to < 4 years,3,male : single,none,2,none,24,none,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,< 1 year,4,female : divorced/separated/married,none,3,none,27,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,< 100 DM,1 to < 4 years,4,male : single,none,2,car,30,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,radio/television,701,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,none,40,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,repairs,639,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,co-applicant,2,none,29,none,own,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,< 100 DM,< 1 year,2,male : single,none,3,car,27,bank,own,2,unskilled - resident,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,47,bank,for free,2,skilled employee/ official,1,none,yes,good,
no checking account,27,delay in paying off in the past,car (used),8613,>= 1000 DM,1 to < 4 years,2,male : single,none,2,real estate,27,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 to < 1000 DM,1 to < 4 years,4,male : single,none,3,none,66,none,own,1,unskilled - resident,1,none,yes,bad,
>= 200 DM,6,existing credits paid back duly till now,car (new),709,>= 1000 DM,< 1 year,2,male : married/widowed,none,2,none,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no,good,
< 0 DM,27,existing credits paid back duly till now,radio/television,3416,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,27,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,22,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,48,all credits at this bank paid back duly,business,3566,100 to < 500 DM,4 to < 7 years,4,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,< 100 DM,1 to < 4 years,3,male : single,guarantor,2,car,28,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,>= 1000 DM,>= 7 years,4,male : single,none,4,real estate,46,none,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,36,existing credits paid back duly till now,radio/television,5848,< 100 DM,1 to < 4 years,4,male : single,none,1,real estate,24,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,>= 1000 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,29,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 to < 500 DM,>= 7 years,3,male : single,guarantor,4,none,48,none,own,2,skilled employee/ official,2,none,no,good,
< 0 DM,12,all credits at this bank paid back duly,retraining,339,< 100 DM,>= 7 years,4,male : married/widowed,none,1,real estate,45,bank,own,1,unskilled - resident,1,none,yes,good,
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 to < 4 years,1,male : single,none,2,none,34,none,own,2,unskilled - resident,2,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,30,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,car (new),909,500 to < 1000 DM,>= 7 years,4,male : single,none,4,car,36,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,< 100 DM,unemployed,4,female : divorced/separated/married,none,2,real estate,33,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,1,none,20,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,< 100 DM,>= 7 years,4,male : single,none,3,real estate,33,none,rent,2,skilled employee/ official,2,none,yes,bad,
0 to < 200 DM,8,existing credits paid back duly till now,radio/television,1414,< 100 DM,1 to < 4 years,4,male : single,guarantor,2,none,33,none,own,1,skilled employee/ official,1,none,no,good,
< 0 DM,21,delay in paying off in the past,education,3414,< 100 DM,< 1 year,2,male : single,none,1,car,26,none,own,2,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,< 100 DM,1 to < 4 years,2,male : divorced/separated,none,1,real estate,42,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,338,500 to < 1000 DM,>= 7 years,4,male : single,none,4,real estate,52,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,< 100 DM,>= 7 years,4,male : single,none,4,none,65,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,36,delay in paying off in the past,business,9572,< 100 DM,< 1 year,1,male : divorced/separated,none,1,real estate,28,none,own,2,skilled employee/ official,1,none,yes,bad,
< 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1 to < 4 years,4,male : single,none,2,car,40,none,own,2,unskilled - resident,2,none,yes,bad,
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,< 100 DM,1 to < 4 years,4,male : single,none,2,car,31,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,radio/television,674,100 to < 500 DM,4 to < 7 years,4,male : married/widowed,none,1,car,20,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 to < 500 DM,4 to < 7 years,4,male : single,none,4,savings agreement/life insurance,34,none,for free,1,unskilled - resident,2,none,yes,bad,
no checking account,6,existing credits paid back duly till now,radio/television,2108,< 100 DM,4 to < 7 years,2,male : married/widowed,none,2,none,29,none,rent,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 to < 500 DM,1 to < 4 years,4,male : single,guarantor,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 to < 500 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,27,bank,rent,4,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,car (new),1168,< 100 DM,1 to < 4 years,4,male : married/widowed,none,3,none,27,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,27,delay in paying off in the past,business,5117,< 100 DM,4 to < 7 years,3,male : single,none,4,real estate,26,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,retraining,902,< 100 DM,4 to < 7 years,4,male : married/widowed,none,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,< 100 DM,>= 7 years,4,male : single,none,1,none,38,none,own,2,unskilled - resident,2,none,yes,good,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,< 100 DM,4 to < 7 years,4,male : single,none,3,car,26,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,business,6568,< 100 DM,1 to < 4 years,2,male : married/widowed,none,2,real estate,21,stores,own,1,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,car (used),1413,>= 1000 DM,4 to < 7 years,3,male : single,none,2,car,55,none,own,1,skilled employee/ official,1,none,no,good,
no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 to < 4 years,1,male : single,none,2,none,33,none,own,2,skilled employee/ official,2,none,yes,good,
0 to < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,3,car,39,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,< 100 DM,1 to < 4 years,2,male : divorced/separated,none,2,none,24,none,rent,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,625,< 100 DM,< 1 year,4,male : married/widowed,guarantor,1,none,26,bank,own,1,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,707,< 100 DM,1 to < 4 years,4,male : single,none,2,none,30,bank,own,2,skilled employee/ official,1,none,yes,good,
no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,9,existing credits paid back duly till now,radio/television,1478,< 100 DM,4 to < 7 years,4,male : single,none,2,real estate,22,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,< 100 DM,< 1 year,4,male : single,none,1,savings agreement/life insurance,22,bank,for free,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,36,existing credits paid back duly till now,radio/television,4210,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,9,existing credits paid back duly till now,car (new),2507,500 to < 1000 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,51,none,for free,1,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,2141,100 to < 500 DM,4 to < 7 years,3,male : single,none,1,savings agreement/life insurance,35,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,866,< 100 DM,1 to < 4 years,4,male : married/widowed,guarantor,2,none,25,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,3,unskilled - resident,2,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,radio/television,1823,< 100 DM,unemployed,4,male : single,none,2,real estate,30,stores,own,1,management/ self-employed/highly qualified employee,2,none,yes,bad,
0 to < 200 DM,21,existing credits paid back duly till now,business,2767,100 to < 500 DM,>= 7 years,4,male : divorced/separated,none,2,real estate,61,bank,rent,2,unskilled - resident,1,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,car,35,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,30,existing credits paid back duly till now,radio/television,2522,< 100 DM,>= 7 years,1,male : single,guarantor,3,car,39,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,2,real estate,29,bank,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,6,existing credits paid back duly till now,radio/television,1595,< 100 DM,4 to < 7 years,3,male : single,none,2,car,51,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,24,none,for free,2,skilled employee/ official,2,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),business,1185,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,27,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,12,all credits at this bank paid back duly,retraining,3447,500 to < 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,none,35,none,own,1,unskilled - resident,2,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,< 100 DM,>= 7 years,4,male : single,none,4,none,52,none,own,3,skilled employee/ official,1,none,yes,good,
no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 to < 500 DM,1 to < 4 years,4,male : single,none,1,savings agreement/life insurance,35,bank,rent,1,skilled employee/ official,1,none,no,good,
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,1925,< 100 DM,1 to < 4 years,2,male : single,none,2,none,26,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,radio/television,433,< 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,none,22,none,rent,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,2251,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,real estate,46,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,30,existing credits paid back duly till now,car (new),2150,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,2,savings agreement/life insurance,24,bank,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 to < 500 DM,1 to < 4 years,2,male : single,none,3,car,35,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 to < 4 years,1,male : single,none,1,none,27,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,< 100 DM,1 to < 4 years,4,male : single,none,2,none,35,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,12,all credits at this bank paid back duly,radio/television,2149,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,1,savings agreement/life insurance,29,none,for free,1,skilled employee/ official,1,none,yes,bad,
no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 to < 500 DM,unemployed,4,female : divorced/separated/married,none,4,none,57,none,own,3,unskilled - resident,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,< 100 DM,1 to < 4 years,2,male : single,none,2,none,27,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,radio/television,1603,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,real estate,55,none,own,1,skilled employee/ official,1,none,yes,good,
